,country,date,daily_vaccinations,vaccines
0,Argentina,12/29/2020,6483.00,Sputnik V
1,Argentina,12/30/2020,15656.00,Sputnik V
2,Argentina,12/31/2020,15656.00,Sputnik V
3,Argentina,1/1/2021,11070.00,Sputnik V
4,Argentina,1/2/2021,8776.00,Sputnik V
5,Argentina,1/3/2021,7400.00,Sputnik V
6,Argentina,1/4/2021,6483.00,Sputnik V
7,Argentina,1/5/2021,7984.00,Sputnik V
8,Argentina,1/6/2021,8173.00,Sputnik V
9,Argentina,1/7/2021,8363.00,Sputnik V
10,Argentina,1/8/2021,10519.00,Sputnik V
11,Argentina,1/9/2021,11942.00,Sputnik V
12,Argentina,1/10/2021,13365.00,Sputnik V
13,Argentina,1/11/2021,14788.00,Sputnik V
14,Argentina,1/12/2021,14056.00,Sputnik V
15,Argentina,1/13/2021,13323.00,Sputnik V
16,Argentina,1/14/2021,13320.00,Sputnik V
17,Argentina,1/15/2021,13317.00,Sputnik V
18,Argentina,1/16/2021,12971.00,Sputnik V
19,Argentina,1/17/2021,12624.00,Sputnik V
20,Argentina,1/18/2021,12278.00,Sputnik V
21,Argentina,1/19/2021,11932.00,Sputnik V
22,Argentina,1/20/2021,11586.00,Sputnik V
23,Argentina,1/21/2021,11704.00,Sputnik V
24,Argentina,1/22/2021,11263.00,Sputnik V
25,Argentina,1/23/2021,11124.00,Sputnik V
26,Argentina,1/24/2021,10342.00,Sputnik V
27,Argentina,1/25/2021,9046.00,Sputnik V
28,Austria,1/5/2021,3368.00,Pfizer/BioNTech
29,Austria,1/6/2021,3368.00,Pfizer/BioNTech
30,Austria,1/7/2021,3368.00,Pfizer/BioNTech
31,Austria,1/8/2021,7263.00,Pfizer/BioNTech
32,Austria,1/9/2021,5791.00,Pfizer/BioNTech
33,Austria,1/10/2021,4705.00,Pfizer/BioNTech
34,Austria,1/11/2021,5031.00,Pfizer/BioNTech
35,Austria,1/12/2021,6366.00,Pfizer/BioNTech
36,Austria,1/13/2021,7365.00,Pfizer/BioNTech
37,Austria,1/14/2021,8429.00,Pfizer/BioNTech
38,Austria,1/15/2021,7747.00,Pfizer/BioNTech
39,Austria,1/16/2021,7953.00,Pfizer/BioNTech
40,Austria,1/17/2021,10129.00,Pfizer/BioNTech
41,Austria,1/18/2021,11852.00,Pfizer/BioNTech
42,Austria,1/19/2021,12472.00,Pfizer/BioNTech
43,Austria,1/20/2021,12489.00,Pfizer/BioNTech
44,Austria,1/21/2021,12552.00,Pfizer/BioNTech
45,Austria,1/22/2021,11797.00,Pfizer/BioNTech
46,Austria,1/23/2021,11765.00,Pfizer/BioNTech
47,Austria,1/24/2021,9622.00,Pfizer/BioNTech
48,Bahrain,12/23/2020,943.00,"Pfizer/BioNTech, Sinopharm"
49,Bahrain,12/24/2020,11106.00,"Pfizer/BioNTech, Sinopharm"
50,Bahrain,12/25/2020,5789.00,"Pfizer/BioNTech, Sinopharm"
51,Bahrain,12/26/2020,4197.00,"Pfizer/BioNTech, Sinopharm"
52,Bahrain,12/27/2020,3662.00,"Pfizer/BioNTech, Sinopharm"
53,Bahrain,12/28/2020,3210.00,"Pfizer/BioNTech, Sinopharm"
54,Bahrain,12/29/2020,2846.00,"Pfizer/BioNTech, Sinopharm"
55,Bahrain,12/30/2020,2622.00,"Pfizer/BioNTech, Sinopharm"
56,Bahrain,12/31/2020,1225.00,"Pfizer/BioNTech, Sinopharm"
57,Bahrain,1/1/2021,1258.00,"Pfizer/BioNTech, Sinopharm"
58,Bahrain,1/2/2021,1220.00,"Pfizer/BioNTech, Sinopharm"
59,Bahrain,1/3/2021,1011.00,"Pfizer/BioNTech, Sinopharm"
60,Bahrain,1/4/2021,943.00,"Pfizer/BioNTech, Sinopharm"
61,Bahrain,1/5/2021,1122.00,"Pfizer/BioNTech, Sinopharm"
62,Bahrain,1/6/2021,1594.00,"Pfizer/BioNTech, Sinopharm"
63,Bahrain,1/7/2021,1942.00,"Pfizer/BioNTech, Sinopharm"
64,Bahrain,1/8/2021,2706.00,"Pfizer/BioNTech, Sinopharm"
65,Bahrain,1/9/2021,3437.00,"Pfizer/BioNTech, Sinopharm"
66,Bahrain,1/10/2021,4080.00,"Pfizer/BioNTech, Sinopharm"
67,Bahrain,1/11/2021,4427.00,"Pfizer/BioNTech, Sinopharm"
68,Bahrain,1/12/2021,4840.00,"Pfizer/BioNTech, Sinopharm"
69,Bahrain,1/13/2021,4699.00,"Pfizer/BioNTech, Sinopharm"
70,Bahrain,1/14/2021,5332.00,"Pfizer/BioNTech, Sinopharm"
71,Bahrain,1/15/2021,6361.00,"Pfizer/BioNTech, Sinopharm"
72,Bahrain,1/16/2021,7572.00,"Pfizer/BioNTech, Sinopharm"
73,Bahrain,1/17/2021,7473.00,"Pfizer/BioNTech, Sinopharm"
74,Bahrain,1/18/2021,7176.00,"Pfizer/BioNTech, Sinopharm"
75,Bahrain,1/19/2021,6546.00,"Pfizer/BioNTech, Sinopharm"
76,Bahrain,1/20/2021,6110.00,"Pfizer/BioNTech, Sinopharm"
77,Belgium,12/28/2020,1.00,Pfizer/BioNTech
78,Belgium,12/29/2020,1.00,Pfizer/BioNTech
79,Belgium,12/30/2020,234.00,Pfizer/BioNTech
80,Belgium,12/31/2020,159.00,Pfizer/BioNTech
81,Belgium,1/1/2021,122.00,Pfizer/BioNTech
82,Belgium,1/2/2021,97.00,Pfizer/BioNTech
83,Belgium,1/3/2021,81.00,Pfizer/BioNTech
84,Belgium,1/4/2021,70.00,Pfizer/BioNTech
85,Belgium,1/5/2021,283.00,Pfizer/BioNTech
86,Belgium,1/6/2021,736.00,Pfizer/BioNTech
87,Belgium,1/7/2021,1855.00,Pfizer/BioNTech
88,Belgium,1/8/2021,3134.00,Pfizer/BioNTech
89,Belgium,1/9/2021,3578.00,Pfizer/BioNTech
